Sample,Pressure (Raw),Pressure (EMA Filtered)
0,-0.058746,-0.058746
1,-0.063323,-0.0592037
2,-0.061035,-0.059386829999999995
3,-0.065612,-0.060009347
4,-0.058746,-0.059883012299999996
5,-0.063323,-0.060227011069999996
6,-0.058746,-0.060078909963
7,-0.063323,-0.0604033189667
8,-0.058746,-0.060237587070030005
9,-0.063323,-0.060546128363027
10,-0.058746,-0.0603661155267243
11,-0.065612,-0.06089070397405188
12,-0.061035,-0.06090513357664669
13,-0.065612,-0.061375820218982025
14,-0.065612,-0.06179943819708383
15,-0.061035,-0.06172299437737544
16,-0.065612,-0.0621118949396379
17,-0.061035,-0.06200420544567411
18,-0.065612,-0.0623649849011067
19,-0.061035,-0.06223198641099603
20,-0.063323,-0.06234108776989643
21,-0.058746,-0.06198157899290679
22,-0.065612,-0.06234462109361611
23,-0.058746,-0.0619847589842545
24,-0.063323,-0.06211858308582905
25,-0.061035,-0.062010224777246145
26,-0.065612,-0.06237040229952154
27,-0.061035,-0.06223686206956938
28,-0.063323,-0.062345475862612444
29,-0.058746,-0.061985528276351204
30,-0.065612,-0.06234817544871609
31,-0.058746,-0.06198795790384448
32,-0.058746,-0.06166376211346004
33,-0.065612,-0.062058585902114036
34,-0.061035,-0.06195622731190263
35,-0.065612,-0.062321804580712375
36,-0.061035,-0.062193124122641136
37,-0.063323,-0.062306111710377025
38,-0.061035,-0.06217900053933932
39,-0.065612,-0.06252230048540539
40,-0.061035,-0.062373570436864846
41,-0.063323,-0.06246851339317836
42,-0.061035,-0.062325162053860524
43,-0.063323,-0.062424945848474474
44,-0.061035,-0.06228595126362702
45,-0.065612,-0.06261855613726432
46,-0.058746,-0.06223130052353789
47,-0.065612,-0.0625693704711841
48,-0.061035,-0.06241593342406569
49,-0.065612,-0.06273554008165913
50,-0.061035,-0.06256548607349322
51,-0.058746,-0.0621835374661439
52,-0.063323,-0.062297483719529506
53,-0.058746,-0.06194233534757656
54,-0.063323,-0.0620804018128189
55,-0.058746,-0.06174696163153701
56,-0.063323,-0.06190456546838331
57,-0.058746,-0.061588708921544985
58,-0.063323,-0.061762138029390484
59,-0.056457,-0.06123162422645144
60,-0.065612,-0.0616696618038063
61,-0.058746,-0.06137729562342567
62,-0.063323,-0.06157186606108311
63,-0.061035,-0.06151817945497479
64,-0.065612,-0.06192756150947732
65,-0.058746,-0.06160940535852959
66,-0.061035,-0.06155196482267663
67,-0.058746,-0.061271368340408965
68,-0.063323,-0.061476531506368066
69,-0.063323,-0.06166117835573126
70,-0.056457,-0.06114076052015814
71,-0.065612,-0.06158788446814233
72,-0.058746,-0.061303696021328104
73,-0.065612,-0.061734526419195294
74,-0.058746,-0.06143567377727577
75,-0.065612,-0.0618533063995482
76,-0.058746,-0.061542575759593376
77,-0.065612,-0.06194951818363404
78,-0.056457,-0.06140026636527064
79,-0.061035,-0.06136373972874358
80,-0.058746,-0.06110196575586922
81,-0.061035,-0.0610952691802823
82,-0.058746,-0.06086034226225407
83,-0.063323,-0.061106608036028666
84,-0.056457,-0.060641647232425794
85,-0.063323,-0.06090978250918321
86,-0.058746,-0.060693404258264895
87,-0.058746,-0.060498663832438404
88,-0.063323,-0.06078109744919456
89,-0.058746,-0.060577587704275106
90,-0.063323,-0.060852128933847595
91,-0.058746,-0.060641516040462834
92,-0.063323,-0.06090966443641655
93,-0.061035,-0.060922197992774894
94,-0.063323,-0.061162278193497406
95,-0.058746,-0.060920650374147664
96,-0.065612,-0.0613897853367329
97,-0.058746,-0.06112540680305961
98,-0.058746,-0.060887466122753656
99,-0.063323,-0.06113101951047829
100,-0.058746,-0.06089251755943047
101,-0.063323,-0.06113556580348742
102,-0.058746,-0.06089660922313868
103,-0.063323,-0.06113924830082481
104,-0.058746,-0.06089992347074233
105,-0.058746,-0.060684531123668096
106,-0.063323,-0.060948378011301284
107,-0.056457,-0.060499240210171154
108,-0.065612,-0.06101051618915404
109,-0.058746,-0.06078406457023864
110,-0.063323,-0.061037958113214774
111,-0.058746,-0.0608087623018933
112,-0.063323,-0.061060186071703965
113,-0.056457,-0.060599867464533566
114,-0.058746,-0.06041448071808021
115,-0.058746,-0.06024763264627219
116,-0.063323,-0.06055516938164497
117,-0.058746,-0.06037425244348048
118,-0.063323,-0.06066912719913243
119,-0.056457,-0.06024791447921919
120,-0.063323,-0.060555423031297274
121,-0.058746,-0.06037448072816755
122,-0.063323,-0.060669332655350794
123,-0.056457,-0.06024809938981572
124,-0.058746,-0.06009788945083415
125,-0.063323,-0.06042040050575073
126,-0.058746,-0.06025296045517566
127,-0.063323,-0.06055996440965809
128,-0.058746,-0.06037856796869229
129,-0.063323,-0.06067301117182306
130,-0.058746,-0.06048031005464076
131,-0.063323,-0.06076457904917668
132,-0.058746,-0.060562721144259014
133,-0.063323,-0.06083874902983311
134,-0.058746,-0.060629474126849804
135,-0.061035,-0.06067002671416482
136,-0.058746,-0.06047762404274834
137,-0.065612,-0.06099106163847351
138,-0.061035,-0.060995455474626155
139,-0.061035,-0.06099940992716354
140,-0.056457,-0.06054516893444718
141,-0.063323,-0.060822952041002465
142,-0.063323,-0.06107295683690222
143,-0.056457,-0.060611361153212
144,-0.063323,-0.0608825250378908
145,-0.056457,-0.060439972534101716
146,-0.063323,-0.060728275280691545
147,-0.058746,-0.06053004775262239
148,-0.063323,-0.060809342977360153
149,-0.058746,-0.06060300867962414
150,-0.061035,-0.060646207811661725
151,-0.058746,-0.06045618703049555
152,-0.063323,-0.060742868327446
153,-0.058746,-0.0605431814947014
154,-0.063323,-0.06082116334523126
155,-0.058746,-0.060613647010708135
156,-0.061035,-0.06065578230963732
157,-0.058746,-0.06046480407867359
158,-0.063323,-0.060750623670806234
159,-0.058746,-0.06055016130372561
160,-0.058746,-0.06036974517335305
161,-0.063323,-0.06066507065601774
162,-0.058746,-0.06047316359041597
163,-0.063323,-0.06075814723137437
164,-0.058746,-0.06055693250823693
165,-0.063323,-0.06083353925741324
166,-0.058746,-0.06062478533167192
167,-0.063323,-0.060894606798504725
168,-0.056457,-0.060450846118654256
169,-0.063323,-0.06073806150678883
170,-0.058746,-0.06053885535610995
171,-0.063323,-0.060817269820498954
172,-0.058746,-0.06061014283844906
173,-0.063323,-0.060881428554604156
174,-0.056457,-0.060438985699143744
175,-0.063323,-0.06072738712922937
176,-0.058746,-0.060529248416306435
177,-0.063323,-0.06080862357467579
178,-0.063323,-0.061060061217208216
179,-0.056457,-0.0605997550954874
180,-0.063323,-0.06087207958593866
181,-0.054168,-0.06020167162734479
182,-0.063323,-0.06051380446461031
183,-0.054168,-0.05987922401814928
184,-0.067901,-0.060681401616334354
185,-0.063323,-0.06094556145470092
186,-0.063323,-0.06118330530923083
187,-0.067901,-0.06185507477830775
188,-0.063323,-0.06200186730047697
189,-0.07019,-0.06282068057042928
190,-0.063323,-0.06287091251338635
191,-0.067901,-0.06337392126204772
192,-0.063323,-0.06336882913584295
193,-0.067901,-0.06382204622225865
194,-0.063323,-0.06377214160003279
195,-0.067901,-0.06418502744002952
196,-0.061035,-0.06387002469602657
197,-0.065612,-0.0640442222264239
198,-0.067901,-0.06442990000378152
199,-0.065612,-0.06454811000340337
200,-0.067901,-0.06488339900306303
201,-0.061035,-0.06449855910275673
202,-0.07019,-0.06506770319248106
203,-0.063323,-0.06489323287323297
204,-0.063323,-0.06473620958590967
205,-0.067901,-0.06505268862731871
206,-0.065612,-0.06510861976458684
207,-0.067901,-0.06538785778812817
208,-0.061035,-0.06495257200931535
209,-0.067901,-0.06524741480838382
210,-0.065612,-0.06528387332754544
211,-0.065612,-0.0653166859947909
212,-0.065612,-0.06534621739531181
213,-0.07019,-0.06583059565578063
214,-0.065612,-0.06580873609020257
215,-0.07019,-0.06624686248118232
216,-0.065612,-0.06618337623306408
217,-0.067901,-0.06635513860975767
218,-0.063323,-0.06605192474878191
219,-0.07019,-0.06646573227390372
220,-0.065612,-0.06638035904651335
221,-0.067901,-0.06653242314186202
222,-0.067901,-0.06666928082767581
223,-0.065612,-0.06656355274490823
224,-0.067901,-0.06669729747041742
225,-0.063323,-0.06635986772337568
226,-0.07019,-0.06674288095103811
227,-0.063323,-0.06640089285593431
228,-0.067901,-0.06655090357034088
229,-0.063323,-0.0662281132133068
230,-0.07019,-0.06662430189197611
231,-0.065612,-0.0665230717027785
232,-0.07019,-0.06688976453250066
233,-0.061035,-0.0663042880792506
234,-0.067901,-0.06646395927132553
235,-0.065612,-0.06637876334419299
236,-0.07019,-0.06675988700977369
237,-0.063323,-0.06641619830879632
238,-0.067901,-0.0665646784779167
239,-0.063323,-0.06624051063012502
240,-0.065612,-0.06617765956711252
241,-0.067901,-0.06634999361040128
242,-0.065612,-0.06627619424936115
243,-0.065612,-0.06620977482442504
244,-0.065612,-0.06614999734198254
245,-0.067901,-0.0663250976077843
246,-0.063323,-0.06602488784700587
247,-0.07019,-0.06644139906230528
248,-0.065612,-0.06635845915607476
249,-0.067901,-0.06651271324046729
250,-0.063323,-0.06619374191642056
