Time    X    Y    Z
0.00    351.4680    516.6880    -2295.9750    
0.56    351.4680    516.6880    -2295.3701    
1.13    351.4680    516.6880    -2295.3701    
1.69    351.4680    513.6840    -2295.3701    
2.26    351.4680    516.6880    -2294.7651    
2.82    351.4680    513.6840    -2295.3701    
3.38    351.4680    516.6880    -2294.7651    
3.95    351.4680    513.6840    -2294.7651    
4.51    351.4680    513.6840    -2296.5800    
5.07    351.4680    513.6840    -2294.7651    
5.64    351.4680    513.6840    -2295.3701    
6.20    351.4680    513.6840    -2295.9750    
6.76    351.4680    513.6840    -2296.5800    
7.33    351.4680    513.6840    -2295.3701    
7.89    351.4680    516.6880    -2295.9750    
8.46    351.4680    513.6840    -2295.3701    
9.02    351.4680    513.6840    -2294.7651    
9.58    351.4680    513.6840    -2294.7651    
10.15   351.4680    513.6840    -2295.3701    
10.71   351.4680    513.6840    -2296.5800    
11.28   348.4640    513.6840    -2295.3701    
11.84   351.4680    516.6880    -2294.7651    
12.40   351.4680    513.6840    -2295.3701    
12.97   351.4680    513.6840    -2295.9750    
13.53   351.4680    516.6880    -2295.9750    
14.10   351.4680    513.6840    -2296.5800    
14.66   351.4680    513.6840    -2295.3701    
15.22   351.4680    513.6840    -2297.1850    
15.79   351.4680    516.6880    -2295.3701    
16.35   351.4680    513.6840    -2296.5800    
16.92   351.4680    513.6840    -2295.9750    
17.48   351.4680    513.6840    -2296.5800    
18.04   351.4680    516.6880    -2296.5800    
18.61   351.4680    516.6880    -2297.1850    
19.17   351.4680    513.6840    -2296.5800    
19.73   351.4680    516.6880    -2296.5800    
20.30   351.4680    513.6840    -2294.7651    
20.86   351.4680    513.6840    -2294.1601    
21.43   351.4680    513.6840    -2296.5800    
21.99   351.4680    513.6840    -2295.9750    
22.55   351.4680    513.6840    -2296.5800    
23.12   351.4680    513.6840    -2296.5800    
23.68   351.4680    516.6880    -2296.5800    
24.25   351.4680    516.6880    -2297.1850    
24.81   351.4680    513.6840    -2295.3701    
25.37   351.4680    516.6880    -2296.5800    
25.94   351.4680    513.6840    -2295.9750    
26.50   351.4680    516.6880    -2295.9750    
27.06   351.4680    516.6880    -2297.1850    
27.63   351.4680    516.6880    -2296.5800    
28.19   351.4680    513.6840    -2296.5800    
28.76   351.4680    516.6880    -2295.9750    
29.32   351.4680    516.6880    -2297.1850    
29.88   351.4680    516.6880    -2298.3950    
30.45   351.4680    516.6880    -2297.1850    
31.01   351.4680    516.6880    -2297.1850    
31.58   351.4680    516.6880    -2299.6049    
32.14   351.4680    516.6880    -2299.0000    
32.70   351.4680    516.6880    -2296.5800    
33.27   351.4680    516.6880    -2297.1850    
33.83   351.4680    516.6880    -2298.3950    
34.40   351.4680    516.6880    -2298.3950    
34.96   351.4680    516.6880    -2299.0000    
35.52   351.4680    516.6880    -2297.7900    
36.09   351.4680    516.6880    -2297.1850    
36.65   351.4680    516.6880    -2299.6049    
37.22   351.4680    516.6880    -2297.7900    
37.78   351.4680    516.6880    -2299.6049    
38.34   351.4680    516.6880    -2298.3950    
38.91   351.4680    516.6880    -2298.3950    
39.47   351.4680    516.6880    -2298.3950    
40.04   351.4680    516.6880    -2297.7900    
40.60   351.4680    516.6880    -2299.0000    
41.16   351.4680    516.6880    -2298.3950    
41.73   351.4680    516.6880    -2299.0000    
42.29   351.4680    516.6880    -2299.0000    
42.85   351.4680    516.6880    -2298.3950    
43.42   351.4680    516.6880    -2297.7900    
43.98   351.4680    513.6840    -2298.3950    
44.55   351.4680    516.6880    -2298.3950    
45.11   351.4680    516.6880    -2300.8151    
